latitude,longitude,name,color
33.9746944178,-81.0440840487,,#FFF00
33.9744120745,-81.0437861036,,#FFF00
33.9741297313,-81.0436158493,,#FFF00
33.973882681,-81.0433179042,,#FFF00
33.9739179739,-81.0432753407,,#FFF00
33.9742003171,-81.0435307221,,#FFF00
33.9744473675,-81.0437009764,,#FFF00
33.9747297107,-81.0439989215,,#FFF00
33.974976761,-81.0441691758,,#FFF00
33.9752238114,-81.0444245573,,#FFF00
33.9752943972,-81.0443394301,,#FFF00
33.9750120539,-81.0440840487,,#FFF00
33.9747650036,-81.0439563579,,#FFF00
33.9744826604,-81.0436584129,,#FFF00
33.97423561,-81.0434881586,,#FFF00
33.9739532668,-81.0431902135,,#FFF00
33.9739885597,-81.0431476499,,#FFF00
33.9742709029,-81.043445595,,#FFF00
33.9745179533,-81.0435732857,,#FFF00
33.9748355894,-81.0438712308,,#FFF00
33.9750473468,-81.0440414851,,#FFF00
33.9753296901,-81.044254303,,#FFF00
33.975364983,-81.0442117394,,#FFF00
33.9751179327,-81.0439563579,,#FFF00
33.9748708823,-81.0437861036,,#FFF00
33.9745532462,-81.0435307221,,#FFF00
33.9743061958,-81.0433604678,,#FFF00
33.9740238526,-81.0430625228,,#FFF00
33.9740238526,-81.0431050863,,#FFF00
33.9737768022,-81.042934832,,#FFF00
33.9734591661,-81.0426794506,,#FFF00
33.9732121158,-81.0424666327,,#FFF00
33.9728944796,-81.0422112512,,#FFF00
33.9728944796,-81.0422538148,,#FFF00
33.9726474293,-81.0420409969,,#FFF00
33.9724709647,-81.0419133061,,#FFF00
33.9722945002,-81.0417004882,,#FFF00
33.9721533286,-81.0415302339,,#FFF00
33.9719768641,-81.0413599796,,#FFF00
33.9719415712,-81.0413599796,,#FFF00
33.9718003995,-81.0412322889,,#FFF00
33.9718003995,-81.0411897253,,#FFF00
33.9717651066,-81.0411471617,,#FFF00
33.9715886421,-81.0409343438,,#FFF00
33.9714827634,-81.0408066531,,#FFF00
33.9713062989,-81.0406363988,,#FFF00
33.9712004201,-81.040508708,,#FFF00
33.9709886627,-81.0403384537,,#FFF00
33.9710239556,-81.0402958901,,#FFF00
33.9709533698,-81.0402533265,,#FFF00
33.9707769053,-81.0400830722,,#FFF00
33.9706710266,-81.0399553815,,#FFF00
33.970494562,-81.0397851272,,#FFF00
33.9704239762,-81.0397,,#FFF00
33.9702475117,-81.0395723093,,#FFF00
33.970141633,-81.0394446185,,#FFF00
33.970141633,-81.0394446185,,#FFF00
33.9699651685,-81.0392318006,,#FFF00
33.9698592897,-81.0391466735,,#FFF00
33.9696828252,-81.0389764192,,#FFF00
33.9694710678,-81.0387636013,,#FFF00
33.9692240174,-81.038593347,,#FFF00
33.9689769671,-81.0383379655,,#FFF00
33.9687652097,-81.0381677112,,#FFF00
33.9684828664,-81.0379123297,,#FFF00
33.968271109,-81.0377420754,,#FFF00
33.967529958,-81.0373164396,,#FFF00
